"Ruteflyvninger";"2006M09";1030;158;872
"Ruteflyvninger";"2006M10";1028;162;866
"Ruteflyvninger";"2006M11";889;152;737
"Ruteflyvninger";"2006M12";790;130;660
"Ruteflyvninger";"2007M01";795;139;656
"Ruteflyvninger";"2007M02";772;121;651
"Ruteflyvninger";"2007M03";987;162;825
"Ruteflyvninger";"2007M04";894;131;762
"Ruteflyvninger";"2007M05";1013;159;854
"Ruteflyvninger";"2007M06";1099;167;932
"Ruteflyvninger";"2007M07";1087;137;950
"Ruteflyvninger";"2007M08";1023;161;862
"Ruteflyvninger";"2007M09";1062;162;900
"Ruteflyvninger";"2007M10";1072;170;902
"Ruteflyvninger";"2007M11";928;173;756
"Ruteflyvninger";"2007M12";826;139;687
"Ruteflyvninger";"2008M01";823;142;681
"Ruteflyvninger";"2008M02";869;142;727
"Ruteflyvninger";"2008M03";965;147;817
"Ruteflyvninger";"2008M04";1015;163;852
"Ruteflyvninger";"2008M05";1059;168;891
"Ruteflyvninger";"2008M06";1147;169;978
"Ruteflyvninger";"2008M07";1095;130;965
"Ruteflyvninger";"2008M08";1010;152;858
"Ruteflyvninger";"2008M09";1059;165;895
"Ruteflyvninger";"2008M10";1028;158;869
"Ruteflyvninger";"2008M11";815;148;666
"Ruteflyvninger";"2008M12";736;120;616
"Ruteflyvninger";"2009M01";699;123;577
"Ruteflyvninger";"2009M02";711;126;585
"Ruteflyvninger";"2009M03";838;153;685
"Ruteflyvninger";"2009M04";893;143;750
"Ruteflyvninger";"2009M05";934;156;777
"Ruteflyvninger";"2009M06";1061;171;890
"Ruteflyvninger";"2009M07";1027;139;888
"Ruteflyvninger";"2009M08";941;152;788
"Ruteflyvninger";"2009M09";1004;178;826
"Ruteflyvninger";"2009M10";1015;180;835
"Ruteflyvninger";"2009M11";854;175;679
"Ruteflyvninger";"2009M12";782;143;639
"Ruteflyvninger";"2010M01";760;153;608
"Ruteflyvninger";"2010M02";811;167;643
"Ruteflyvninger";"2010M03";1026;212;814
"Ruteflyvninger";"2010M04";725;137;588
"Ruteflyvninger";"2010M05";1065;207;858
"Ruteflyvninger";"2010M06";1198;216;982
"Ruteflyvninger";"2010M07";1184;181;1003
"Ruteflyvninger";"2010M08";1088;200;888
"Ruteflyvninger";"2010M09";1151;217;934
"Ruteflyvninger";"2010M10";1160;213;947
"Ruteflyvninger";"2010M11";962;209;753
"Ruteflyvninger";"2010M12";865;174;692
"Ruteflyvninger";"2011M01";827;170;656
"Ruteflyvninger";"2011M02";853;173;681
"Ruteflyvninger";"2011M03";1002;203;798
"Ruteflyvninger";"2011M04";1047;183;864
"Ruteflyvninger";"2011M05";1144;211;933
"Ruteflyvninger";"2011M06";1215;195;1021
"Ruteflyvninger";"2011M07";1197;160;1036
"Ruteflyvninger";"2011M08";1099;182;917
"Ruteflyvninger";"2011M09";1186;203;983
"Ruteflyvninger";"2011M10";1161;195;966
"Ruteflyvninger";"2011M11";995;195;800
"Ruteflyvninger";"2011M12";908;163;745
"Ruteflyvninger";"2012M01";869;157;712
"Ruteflyvninger";"2012M02";890;155;735
"Ruteflyvninger";"2012M03";1071;181;890
"Ruteflyvninger";"2012M04";1056;157;899
"Ruteflyvninger";"2012M05";1110;134;976
"Ruteflyvninger";"2012M06";1221;143;1078
"Ruteflyvninger";"2012M07";1222;109;1114
"Ruteflyvninger";"2012M08";1083;134;948
"Ruteflyvninger";"2012M09";1175;158;1017
"Ruteflyvninger";"2012M10";1183;169;1015
"Ruteflyvninger";"2012M11";1000;165;835
